"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "SCSS", "CSS", "comment", "blank", "total"
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ChatsPage.module.scss", "SCSS", 0, 0, 0, 112, 0, 2, 34, 148
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\FriendsPage.module.scss", "SCSS", 0, 0, 0, 118, 0, 0, 41, 159
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\GroupsPage.module.scss", "SCSS", 0, 0, 0, 114, 0, 0, 35, 149
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\HomePage.module.scss", "SCSS", 0, 0, 0, 4, 0, 0, 1, 5
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\NotificicationPage.module.scss", "SCSS", 0, 0, 0, 77, 0, 0, 18, 95
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ReelPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\UserProfilePage.module.scss", "SCSS", 0, 0, 0, 43, 0, 0, 8, 51
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\ChatsPage.tsx", "TypeScript JSX", 0, 0, 102, 0, 0, 0, 18, 120
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\FriendsPage.tsx", "TypeScript JSX", 0, 0, 96, 0, 0, 0, 18, 114
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\GroupsPage.tsx", "TypeScript JSX", 0, 0, 84, 0, 0, 0, 20, 104
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\NotificationsPage.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 11, 92
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\UserProfilePage.tsx", "TypeScript JSX", 0, 0, 57, 0, 0, 23, 10, 90
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\story\StoryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -2, -2
"c:\TPA\TPA-Web\tpa-web-frontend\src\provider\ApolloProvider.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 2, 26
"c:\TPA\TPA-Web\tpa-web-frontend\src\query\ChatQuery.tsx", "TypeScript JSX", 0, 0, 119, 0, 0, 0, 5, 124
"c:\TPA\TPA-Web\tpa-web-frontend\src\query\GroupQuery.tsx", "TypeScript JSX", 0, 0, 194, 0, 0, 0, 15, 209
"c:\TPA\TPA-Web\tpa-web-frontend\src\query\NotificationQuery.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 2, 30
"c:\TPA\TPA-Web\tpa-web-frontend\src\query\PostQuery.tsx", "TypeScript JSX", 0, 0, 125, 0, 0, 0, 3, 128
"c:\TPA\TPA-Web\tpa-web-frontend\src\query\UserQuery.tsx", "TypeScript JSX", 0, 0, 84, 0, 0, 0, 4, 88
"c:\TPA\TPA-Web\tpa-web-frontend\vite.config.ts", "TypeScript", 0, 8, 0, 0, 0, 0, -1, 7
"Total", "-", 348, 8, 2379, 2284, 3, 244, 995, 6261
